from,to
Br_Brain,GM_Grey Matter
GM_Grey Matter,DiE_Diencephalon
DiE_Diencephalon,Hy_Hypothalamus
Hy_Hypothalamus,MamR_Mammillary Region
MamR_Mammillary Region,PHA_Posterior Hypothalamic Area
PHA_Posterior Hypothalamic Area,"PHA_Posterior Hypothalamic Area, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,OL_Occipital Lobe
OL_Occipital Lobe,OP_occipital pole
OP_occipital pole,"OP_occipital pole, Left"
"OP_occipital pole, Left","OPs_occipital pole, Left, superior aspect"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,CxN_Cerebral Nuclei
CxN_Cerebral Nuclei,BF_Basal Forebrain
BF_Basal Forebrain,SI_Substantia Innominata
SI_Substantia Innominata,"SI_Substantia Innominata, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,TL_Temporal Lobe
TL_Temporal Lobe,STG_superior temporal gyrus
STG_superior temporal gyrus,"STG_superior temporal gyrus, Right"
"STG_superior temporal gyrus, Right","STG-i_superior temporal gyrus, Right, inferior bank of gyrus"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,PL_Parietal Lobe
PL_Parietal Lobe,PCu_precuneus
PCu_precuneus,"PCu_precuneus, Right"
"PCu_precuneus, Right","Pcu-i_precuneus, Right,  inferior lateral bank of gyrus"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,FL_Frontal Lobe
FL_Frontal Lobe,MFG_middle frontal gyrus
MFG_middle frontal gyrus,"MFG_middle frontal gyrus, Right"
"MFG_middle frontal gyrus, Right","MFG-s_middle frontal gyrus, Right, superior bank of gyrus"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MES_Mesencephalon
MES_Mesencephalon,MTg_Midbrain Tegmentum
MTg_Midbrain Tegmentum,Dk_nucleus of Darkschewitsch
Dk_nucleus of Darkschewitsch,"Dk_nucleus of Darkschewitsch, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,CxN_Cerebral Nuclei
CxN_Cerebral Nuclei,BG_Basal Ganglia
BG_Basal Ganglia,Str_Striatum
Str_Striatum,Pu_Putamen
Pu_Putamen,"Pu_Putamen, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,PL_Parietal Lobe
PL_Parietal Lobe,"PCLp_paracentral lobule, posterior part"
"PCLp_paracentral lobule, posterior part","PCLp_paracentral lobule, posterior part, Left"
"PCLp_paracentral lobule, posterior part, Left","PCLp-cs_paracentral lobule, posterior part, Left, bank of cingulate sulcus"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MET_Metencephalon
MET_Metencephalon,Cb_Cerebellum
Cb_Cerebellum,CbCx_Cerebellar Cortex
CbCx_Cerebellar Cortex,CbH_Cerebellar Hemispheres
CbH_Cerebellar Hemispheres,Cb-PL_Posterior Lobe
Cb-PL_Posterior Lobe,Cb-IX_IX
Cb-IX_IX,"PV-IX_IX, Right Paravermis"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MY_Myelencephalon
MY_Myelencephalon,Sp5_spinal trigeminal nucleus
Sp5_spinal trigeminal nucleus,"Sp5_spinal trigeminal nucleus, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,PL_Parietal Lobe
PL_Parietal Lobe,IPL_inferior parietal lobule
IPL_inferior parietal lobule,SMG_supramarginal gyrus
SMG_supramarginal gyrus,"SMG_supramarginal gyrus, Right"
"SMG_supramarginal gyrus, Right","SMG-i_supramarginal gyrus, Right, inferior bank of gyrus"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,LL_Limbic Lobe
LL_Limbic Lobe,HiF_hippocampal formation
HiF_hippocampal formation,S_Subiculum
S_Subiculum,"S_subiculum, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,PL_Parietal Lobe
PL_Parietal Lobe,PoG_postcentral gyrus
PoG_postcentral gyrus,"PoG_postcentral gyrus, Left"
"PoG_postcentral gyrus, Left","PoG-sl_postcentral gyrus, Left, superior lateral aspect of gyrus"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,Ins_Insula
Ins_Insula,SIG_Short Insular Gyri
SIG_Short Insular Gyri,"SIG_Short Insular Gyri, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,DiE_Diencephalon
DiE_Diencephalon,Hy_Hypothalamus
Hy_Hypothalamus,AHR_Anterior Hypothalamic Region
AHR_Anterior Hypothalamic Region,AHA_Anterior Hypothalamic Area
AHA_Anterior Hypothalamic Area,"AHA_Anterior Hypothalamic Area, Right"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,OL_Occipital Lobe
OL_Occipital Lobe,LiG_lingual gyrus
LiG_lingual gyrus,"LiG_lingual gyrus, Left"
"LiG_lingual gyrus, Left","LiG-str_lingual gyrus, Left, striate"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,FL_Frontal Lobe
FL_Frontal Lobe,PaOG_parolfactory gyri
PaOG_parolfactory gyri,"PaOG_parolfactory gyri, Right"
Br_Brain,GM_Grey Matter
GM_Grey Matter,DiE_Diencephalon
DiE_Diencephalon,TH_Thalamus
TH_Thalamus,DT_Dorsal Thalamus
DT_Dorsal Thalamus,ILc_Caudal Group of intralaminar Nuclei
ILc_Caudal Group of intralaminar Nuclei,"ILc_Caudal Group of Intralaminar Nuclei, Right"
Br_Brain,GM_Grey Matter
GM_Grey Matter,DiE_Diencephalon
DiE_Diencephalon,TH_Thalamus
TH_Thalamus,DT_Dorsal Thalamus
DT_Dorsal Thalamus,MG_Medial Geniculate Complex
MG_Medial Geniculate Complex,"MG_Medial Geniculate Complex, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,DiE_Diencephalon
DiE_Diencephalon,Hy_Hypothalamus
Hy_Hypothalamus,MamR_Mammillary Region
MamR_Mammillary Region,TM_Tuberomammillary Nucleus
TM_Tuberomammillary Nucleus,"TM_Tuberomammillary Nucleus, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MES_Mesencephalon
MES_Mesencephalon,MTg_Midbrain Tegmentum
MTg_Midbrain Tegmentum,SN_Substantia Nigra
SN_Substantia Nigra,"SN_Substantia Nigra, Left"
"SN_Substantia Nigra, Left","SNR_Substantia Nigra, pars reticulata, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MET_Metencephalon
MET_Metencephalon,Pons_Pons
Pons_Pons,PTg_Pontine Tegmentum
PTg_Pontine Tegmentum,PPRF_Paramedian Pontine Reticular Formation
PPRF_Paramedian Pontine Reticular Formation,"PRF_Pontine Reticular Formation, Right"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MET_Metencephalon
MET_Metencephalon,Cb_Cerebellum
Cb_Cerebellum,CbCx_Cerebellar Cortex
CbCx_Cerebellar Cortex,CbH_Cerebellar Hemispheres
CbH_Cerebellar Hemispheres,Cb-PL_Posterior Lobe
Cb-PL_Posterior Lobe,Cb-VIIB_VIIB
Cb-VIIB_VIIB,"PV-VIIB_VIIB, Right Paravermis"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,CxN_Cerebral Nuclei
CxN_Cerebral Nuclei,Cl_Claustrum
Cl_Claustrum,"Cl_Claustrum, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MES_Mesencephalon
MES_Mesencephalon,MTg_Midbrain Tegmentum
MTg_Midbrain Tegmentum,MBRF_Midbrain Reticular Formation
MBRF_Midbrain Reticular Formation,"MBRF_Midbrain Reticular Formation, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MET_Metencephalon
MET_Metencephalon,Cb_Cerebellum
Cb_Cerebellum,CbCx_Cerebellar Cortex
CbCx_Cerebellar Cortex,CbH_Cerebellar Hemispheres
CbH_Cerebellar Hemispheres,Cb-AL_Anterior Lobe
Cb-AL_Anterior Lobe,Cb-III_III
Cb-III_III,"PV-III_III, Right Paravermis"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MES_Mesencephalon
MES_Mesencephalon,MTg_Midbrain Tegmentum
MTg_Midbrain Tegmentum,EW_Edinger Westphal nucleus
EW_Edinger Westphal nucleus,"EW_Edinger Westphal nucleus, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MET_Metencephalon
MET_Metencephalon,Pons_Pons
Pons_Pons,PTg_Pontine Tegmentum
PTg_Pontine Tegmentum,SOC_Superior Olivary Complex
SOC_Superior Olivary Complex,"SOC_Superior Olivary Complex, Right"
Br_Brain,GM_Grey Matter
GM_Grey Matter,DiE_Diencephalon
DiE_Diencephalon,SbT_Subthalamus
SbT_Subthalamus,"Sb_Subthalamic Nucleus, Right"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,CxN_Cerebral Nuclei
CxN_Cerebral Nuclei,BF_Basal Forebrain
BF_Basal Forebrain,SI_Substantia Innominata
SI_Substantia Innominata,"SI_Substantia Innominata, Right"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,FL_Frontal Lobe
FL_Frontal Lobe,PrG_precentral gyrus
PrG_precentral gyrus,"PrG_precentral gyrus, Left"
"PrG_precentral gyrus, Left","PrG-prc_precentral gyrus, Left, bank of the precentral sulcus"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MY_Myelencephalon
MY_Myelencephalon,10_dorsal motor nucleus of the vagus
10_dorsal motor nucleus of the vagus,"10_dorsal motor nucleus of the vagus, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,OL_Occipital Lobe
OL_Occipital Lobe,IOG_inferior occipital gyrus
IOG_inferior occipital gyrus,"IOG_inferior occipital gyrus, Left"
"IOG_inferior occipital gyrus, Left","IOG-s_inferior occipital gyrus, Left, superior bank of gyrus"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,PL_Parietal Lobe
PL_Parietal Lobe,PoG_postcentral gyrus
PoG_postcentral gyrus,"PoG_postcentral gyrus, Left"
"PoG_postcentral gyrus, Left","PoG-cs_postcentral gyrus, Left, bank of the central sulcus"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MES_Mesencephalon
MES_Mesencephalon,MTg_Midbrain Tegmentum
MTg_Midbrain Tegmentum,CGMB_central grey substance of midbrain
CGMB_central grey substance of midbrain,"CGMB_central grey substance of midbrain, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,CxN_Cerebral Nuclei
CxN_Cerebral Nuclei,BG_Basal Ganglia
BG_Basal Ganglia,Str_Striatum
Str_Striatum,Acb_Nucleus Accumbens
Acb_Nucleus Accumbens,"Acb_Nucleus Accumbens, Right"
Br_Brain,GM_Grey Matter
GM_Grey Matter,DiE_Diencephalon
DiE_Diencephalon,ET_Epithalamus
ET_Epithalamus,Pa_Paraventricular Nuclei of Thalamus
Pa_Paraventricular Nuclei of Thalamus,"Pa_Paraventricular Nuclei, Right of Thalamus, Right"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MY_Myelencephalon
MY_Myelencephalon,Gr_gracile nucleus
Gr_gracile nucleus,"Gr_gracile nucleus, Right"
Br_Brain,GM_Grey Matter
GM_Grey Matter,DiE_Diencephalon
DiE_Diencephalon,Hy_Hypothalamus
Hy_Hypothalamus,MamR_Mammillary Region
MamR_Mammillary Region,"LHM_Lateral Hypothalamic Area, Mammillary Region"
"LHM_Lateral Hypothalamic Area, Mammillary Region","LHM_Lateral Hypothalamic Area, Mammillary Region, Left"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,PL_Parietal Lobe
PL_Parietal Lobe,"PCLp_paracentral lobule, posterior part"
"PCLp_paracentral lobule, posterior part","PCLp_paracentral lobule, posterior part, Right"
"PCLp_paracentral lobule, posterior part, Right","PCLp-l_paracentral lobule, posterior part, Right, lateral bank of gyrus"
Br_Brain,GM_Grey Matter
GM_Grey Matter,MET_Metencephalon
MET_Metencephalon,Pons_Pons
Pons_Pons,Bpons_Basal Part of Pons
Bpons_Basal Part of Pons,Pn_pontine nuclei
Pn_pontine nuclei,"Pn_pontine nuclei, Right"
Br_Brain,GM_Grey Matter
GM_Grey Matter,Tel_Telencephalon
Tel_Telencephalon,Cx_Cerebral Cortex
Cx_Cerebral Cortex,FL_Frontal Lobe
FL_Frontal Lobe,FP_frontal pole
FP_frontal pole,"FP_frontal pole, Left"
"FP_frontal pole, Left","FP-s_frontal pole, Left, superior aspect"
