Gene,P,Number of variants
WDR88,6.54E-07,7
DSEL,2.61E-05,13
DNAJC21,0.000138916,8
DNAH11,0.000146739,56
THAP4,0.000164561,5
PIGG,0.000180294,15
MYCL1,0.000292414,2
FAM186B,0.000391556,17
GAB4,0.000661238,11
ANGEL2,0.000716568,2
GPR137,0.000734445,2
SCN3A,0.001005583,6
ADH1B,0.001086772,3
DNAAF3,0.001205251,4
CEP192,0.001287268,23
XAB2,0.001341695,3
ARHGEF28,0.001510508,18
SURF6,0.001516288,2
REXO4,0.001578433,4
TYRP1,0.001585602,11
C1orf112,0.00163769,20
NAV2-AS2,0.001699863,2
ARHGEF16,0.001706559,4
SIGLEC5,0.00186454,6
EPAS1,0.001894328,7
DCST2,0.001948559,19
POPDC2,0.001962432,5
DUS4L,0.002111902,2
CNPY4,0.00225046,4
IGSF21,0.002452419,10
C1QTNF1,0.002493078,5
ZSWIM6,0.002547214,2
HADHA,0.002558141,5
XYLT1,0.002580773,12
ZNF239,0.002623642,5
SLC19A1,0.002688903,16
PRDM13,0.002745474,2
PRPF40B,0.003297304,24
SFI1,0.003487048,21
CSDE1,0.003862779,6
TMEM177,0.003948253,2
EPPK1,0.003981725,42
GP1BA,0.004034074,6
LENEP,0.004153425,2
HCN4,0.004163433,6
POLR1E,0.004194582,4
CREG2,0.004225738,2
PGM2L1,0.004280187,3
TPP2,0.004291665,4
CELA2A,0.004356319,4
PDE1C,0.004394813,6
TCF12,0.00442865,7
GRIP1,0.004533405,13
SERINC2,0.00491454,12
MUC5B,0.004928508,26
GTSF1L,0.005000611,5
TPR,0.00507368,7
NDUFB3,0.005101349,2
TMEM132E,0.005108627,7
ANKK1,0.005110621,16
VPS11,0.005205819,8
BMP3,0.005230601,6
MED16,0.005372081,9
SNX16,0.005470126,5
TRIML1,0.005729767,8
SLFN13,0.005761056,6
L3HYPDH,0.005795127,5
CTDP1,0.005830657,7
GNPTAB,0.005952975,7
LRRC59,0.005999428,15
EAF1,0.006094709,2
PDE3B,0.006117398,2
C14orf176,0.006147984,2
NTN4,0.006164872,7
SLC9B2,0.006187586,7
FCHSD1,0.006246305,14
FBXO3,0.006258026,2
HEXIM1,0.006300836,2
POLM,0.006346005,3
SEC23A,0.00636911,5
CLIP2,0.006372247,9
GLI3,0.006409305,4
ZNF500,0.006561486,9
PIK3R1,0.006570664,4
TRIP12,0.006714566,6
KRTAP10-8,0.006761244,3
WASF1,0.006806471,3
KLHL14,0.006827211,6
GPD1L,0.00695948,4
FGF21,0.006985965,5
MFSD4,0.00721081,2
ATP2B1,0.007422222,2
SYT14,0.007538489,4
H6PD,0.007547781,30
STK11IP,0.007667465,13
KIAA2018,0.007789137,15
PLS1,0.007860194,7
OR5C1,0.007904022,8
PCGF1,0.007967953,2
ZNF582,0.008039756,5
PKD1L2,0.008043816,53
OR5M9,0.008079371,4
FTSJD1,0.008120106,4
WNT8A,0.008135282,4
BAHCC1,0.008351732,20
CA4,0.008362184,3
C8orf58,0.008383909,5
OR51V1,0.008451521,9
WDHD1,0.008472462,8
BRMS1,0.008616198,2
GFRA3,0.008662869,3
FNIP2,0.008883367,12
SPTBN2,0.009117533,20
SLC35G3,0.009239004,2
RASA3,0.009317843,8
APOA5,0.009517791,6
CDK18,0.00953303,9
IL17RE,0.00979543,6
PDSS2,0.009933337,7
BCAR1,0.009976804,7
MRGPRF,0.010101718,2
PFKL,0.01019827,6
SCN4A,0.010227542,15
GDF5,0.010298181,4
GUSBP3,0.01035713,3
OCLN,0.01035713,3
APOL6,0.010371771,7
ASB10,0.010430719,8
METTL18,0.010576317,3
MCOLN3,0.010797921,5
SGSM1,0.010917225,11
EPOR,0.010988469,3
PPARGC1A,0.011016786,12
RYR3,0.011369089,39
ELOVL7,0.011423179,3
MIOX,0.011480615,5
DHX34,0.011517507,11
EFS,0.011547228,10
INPP4B,0.011607871,4
LPCAT1,0.011651598,11
PIGS,0.01173645,8
ERBB2IP,0.011796641,5
ADSSL1,0.011850712,6
SEZ6L2,0.011995815,7
TSPYL4,0.012074827,3
LARP1,0.012126856,3
RANGAP1,0.012243708,4
PTPN5,0.012256079,9
